home,away,home_score,away_score
Deportivo Alaves,Getafe,0,0
Villarreal,Real Sociedad,1,2
Granada,Real Madrid,1,2
Eibar,Real Valladolid,3,1
Getafe,Atletico Madrid,0,2
Mallorca,Granada,1,2
Real Madrid,Villarreal,2,1
Real Sociedad,Sevilla,0,0
Valencia,Espanyol,1,0
Athletic Bilbao,Leganes,0,2
Barcelona,Osasuna,1,2
Real Betis,Deportivo Alaves,1,2
Celta Vigo,Levante,2,3
Deportivo Alaves,Barcelona,0,5
Villarreal,Eibar,4,0
Real Valladolid,Real Betis,2,0
Osasuna,Mallorca,2,2
Sevilla,Valencia,1,0
Leganes,Real Madrid,2,2
Levante,Getafe,1,0
Atletico Madrid,Real Sociedad,1,1
Espanyol,Celta Vigo,0,0
Granada,Athletic Bilbao,4,0
Deportivo Alaves,Getafe,0,0
Villarreal,Real Sociedad,1,2
Granada,Real Madrid,1,2
Eibar,Real Valladolid,3,1
Getafe,Atletico Madrid,0,2
Mallorca,Granada,1,2
Real Madrid,Villarreal,2,1
Real Sociedad,Sevilla,0,0
Valencia,Espanyol,1,0
Athletic Bilbao,Leganes,0,2
Barcelona,Osasuna,1,2
Real Betis,Deportivo Alaves,1,2
Celta Vigo,Levante,2,3
Deportivo Alaves,Barcelona,0,5
Villarreal,Eibar,4,0
Real Valladolid,Real Betis,2,0
Osasuna,Mallorca,2,2
Sevilla,Valencia,1,0
Leganes,Real Madrid,2,2
Levante,Getafe,1,0
Atletico Madrid,Real Sociedad,1,1
Espanyol,Celta Vigo,0,0
Granada,Athletic Bilbao,4,0
Levante,Real Sociedad,1,1
Sevilla,Eibar,1,0
Valencia,Real Valladolid,2,1
Celta Vigo,Atletico Madrid,1,1
Real Betis,Osasuna,3,0
Getafe,Villarreal,1,3
Barcelona,Espanyol,1,0
Mallorca,Levante,2,0
Eibar,Leganes,0,0
Athletic Bilbao,Sevilla,1,2
Real Sociedad,Granada,2,3
Real Madrid,Deportivo Alaves,2,0
Osasuna,Celta Vigo,2,1
Real Valladolid,Barcelona,0,1
Atletico Madrid,Real Betis,1,0
Espanyol,Eibar,0,2
Levante,Athletic Bilbao,1,2
Leganes,Valencia,1,0
Sevilla,Mallorca,2,0
Getafe,Real Sociedad,2,1
Mallorca,Celta Vigo,5,1
Leganes,Sevilla,0,3
Barcelona,Atletico Madrid,2,2
Valencia,Athletic Bilbao,0,2
Deportivo Alaves,Granada,0,2
Real Valladolid,Levante,0,0
Real Betis,Villarreal,0,2
Eibar,Osasuna,0,2
Real Sociedad,Espanyol,2,1
Real Madrid,Getafe,1,0
Atletico Madrid,Mallorca,3,0
Celta Vigo,Real Betis,1,1
Real Valladolid,Deportivo Alaves,1,0
Granada,Valencia,2,2
Athletic Bilbao,Real Madrid,0,1
Espanyol,Leganes,0,1
Osasuna,Getafe,0,0
Villarreal,Barcelona,1,4
Villarreal,Sevilla,2,2
Leganes,Granada,0,0
Levante,Atletico Madrid,0,1
Real Valladolid,Getafe,1,1
Barcelona,Athletic Bilbao,1,0
Deportivo Alaves,Osasuna,0,1
Real Sociedad,Celta Vigo,0,1
Real Madrid,Mallorca,2,0
Eibar,Valencia,1,0
Real Betis,Espanyol,1,0
Sevilla,Real Valladolid,1,1
Athletic Bilbao,Mallorca,3,1
Celta Vigo,Barcelona,2,2
Osasuna,Leganes,2,1
Atletico Madrid,Deportivo Alaves,2,1
Levante,Real Betis,4,2
Villarreal,Valencia,2,0
Granada,Eibar,1,2
Espanyol,Real Madrid,0,1
Levante,Sevilla,1,1
Real Betis,Granada,2,2
Getafe,Espanyol,0,0
Villarreal,Mallorca,1,0
Barcelona,Leganes,2,0
Eibar,Athletic Bilbao,2,2
Real Valladolid,Celta Vigo,0,0
Osasuna,Atletico Madrid,0,5
Deportivo Alaves,Real Sociedad,2,0
Real Madrid,Valencia,3,0
Granada,Villarreal,0,1
Mallorca,Leganes,1,1
Sevilla,Barcelona,0,0
Espanyol,Levante,1,3
Athletic Bilbao,Real Betis,1,0
Getafe,Eibar,1,1
Atletico Madrid,Real Valladolid,1,0
Celta Vigo,Deportivo Alaves,6,0
Valencia,Osasuna,2,0
Real Sociedad,Real Madrid,1,2
Sevilla,Real Betis,2,0
Granada,Getafe,2,1
Valencia,Levante,1,1
Espanyol,Deportivo Alaves,2,0
Celta Vigo,Villarreal,0,1
Leganes,Real Valladolid,1,2
Mallorca,Barcelona,0,4
Athletic Bilbao,Atletico Madrid,1,1
Real Madrid,Eibar,3,1
Real Sociedad,Osasuna,1,1
Eibar,Real Sociedad,1,2
Deportivo Alaves,Valencia,1,1
Eibar,Mallorca,1,2
Atletico Madrid,Sevilla,2,2
Barcelona,Real Sociedad,1,0
Getafe,Celta Vigo,0,0
Osasuna,Espanyol,1,0
Real Valladolid,Athletic Bilbao,1,4
Levante,Granada,1,1
Villarreal,Leganes,1,2
Real Betis,Real Madrid,2,1
Real Sociedad,Real Valladolid,1,0
Eibar,Levante,3,0
Valencia,Real Betis,2,1
Leganes,Deportivo Alaves,1,1
Granada,Celta Vigo,0,0
Sevilla,Osasuna,3,2
Athletic Bilbao,Villarreal,1,0
Espanyol,Atletico Madrid,1,1
Mallorca,Getafe,0,1
Real Madrid,Barcelona,2,0
Real Betis,Mallorca,3,3
Celta Vigo,Leganes,1,0
Barcelona,Eibar,5,0
Real Sociedad,Valencia,3,0
Levante,Real Madrid,1,0
Osasuna,Granada,0,3
Deportivo Alaves,Athletic Bilbao,2,1
Real Valladolid,Espanyol,2,1
Getafe,Sevilla,0,3
Atletico Madrid,Villarreal,3,1
Valencia,Atletico Madrid,2,2
Mallorca,Deportivo Alaves,1,0
Barcelona,Getafe,2,1
Villarreal,Levante,2,1
Granada,Real Valladolid,2,1
Sevilla,Espanyol,2,2
Leganes,Real Betis,0,0
Athletic Bilbao,Osasuna,0,1
Real Madrid,Celta Vigo,2,2
Deportivo Alaves,Eibar,2,1
Levante,Leganes,2,0
Getafe,Valencia,3,0
Real Valladolid,Villarreal,1,1
Atletico Madrid,Granada,1,0
Espanyol,Mallorca,1,0
Real Sociedad,Athletic Bilbao,2,1
Osasuna,Real Madrid,1,4
Celta Vigo,Sevilla,2,1
Real Betis,Barcelona,2,3
Granada,Espanyol,2,1
Real Madrid,Atletico Madrid,1,0
Mallorca,Real Valladolid,0,1
Valencia,Celta Vigo,1,0
Leganes,Real Sociedad,2,1
Eibar,Real Betis,1,1
Athletic Bilbao,Getafe,0,2
Villarreal,Osasuna,3,1
Sevilla,Deportivo Alaves,1,1
Barcelona,Levante,2,1
Osasuna,Levante,2,0
Espanyol,Athletic Bilbao,1,1
Valencia,Barcelona,2,0
Deportivo Alaves,Villarreal,1,2
Sevilla,Granada,2,0
Atletico Madrid,Leganes,0,0
Celta Vigo,Eibar,0,0
Getafe,Real Betis,1,0
Real Sociedad,Mallorca,3,0
Real Valladolid,Real Madrid,0,1
Leganes,Getafe,0,3
Levante,Deportivo Alaves,0,1
Real Madrid,Sevilla,2,1
Osasuna,Real Valladolid,0,0
Eibar,Atletico Madrid,2,0
Mallorca,Valencia,4,1
Real Betis,Real Sociedad,3,0
Villarreal,Espanyol,1,2
Athletic Bilbao,Celta Vigo,1,1
Barcelona,Granada,1,0
Real Valladolid,Leganes,2,2
Sevilla,Athletic Bilbao,1,1
Valencia,Eibar,1,0
Getafe,Real Madrid,0,3
Atletico Madrid,Levante,2,1
Espanyol,Barcelona,2,2
Granada,Mallorca,1,0
Real Sociedad,Villarreal,1,2
Deportivo Alaves,Real Betis,1,1
Celta Vigo,Osasuna,1,1
Barcelona,Real Madrid,0,0
Eibar,Granada,3,0
Mallorca,Sevilla,0,2
Barcelona,Deportivo Alaves,4,1
Villarreal,Getafe,1,0
Real Valladolid,Valencia,1,1
Leganes,Espanyol,2,0
Osasuna,Real Sociedad,3,4
Real Betis,Atletico Madrid,1,2
Levante,Celta Vigo,3,1
Real Madrid,Athletic Bilbao,0,0
Deportivo Alaves,Leganes,1,1
Granada,Levante,1,2
Real Sociedad,Barcelona,2,2
Athletic Bilbao,Eibar,0,0
Atletico Madrid,Osasuna,2,0
Getafe,Real Valladolid,2,0
Celta Vigo,Mallorca,2,2
Espanyol,Real Betis,2,2
Sevilla,Villarreal,1,2
Valencia,Real Madrid,1,1
Villarreal,Atletico Madrid,0,0
Real Madrid,Espanyol,2,0
Granada,Deportivo Alaves,3,0
Levante,Valencia,2,4
Barcelona,Mallorca,5,2
Eibar,Getafe,0,1
Real Betis,Athletic Bilbao,3,2
Real Valladolid,Real Sociedad,0,0
Leganes,Celta Vigo,3,2
Osasuna,Sevilla,1,1
Celta Vigo,Real Valladolid,0,0
Deportivo Alaves,Real Madrid,1,2
Real Sociedad,Eibar,4,1
Mallorca,Real Betis,1,2
Valencia,Villarreal,2,1
Sevilla,Leganes,1,0
Athletic Bilbao,Granada,2,0
Espanyol,Osasuna,2,4
Getafe,Levante,4,0
Atletico Madrid,Barcelona,0,1
Levante,Mallorca,2,1
Leganes,Barcelona,1,2
Real Betis,Valencia,2,1
Granada,Atletico Madrid,1,1
Real Madrid,Real Sociedad,3,1
Espanyol,Getafe,1,1
Osasuna,Athletic Bilbao,1,2
Eibar,Deportivo Alaves,0,2
Villarreal,Celta Vigo,1,3
Real Valladolid,Sevilla,0,1
Real Sociedad,Leganes,1,1
Deportivo Alaves,Real Valladolid,3,0
Valencia,Granada,2,0
Eibar,Real Madrid,0,4
Barcelona,Celta Vigo,4,1
Mallorca,Villarreal,3,1
Athletic Bilbao,Levante,2,1
Atletico Madrid,Espanyol,3,1
Getafe,Osasuna,0,0
Real Betis,Sevilla,1,2
Deportivo Alaves,Atletico Madrid,1,1
Barcelona,Real Valladolid,5,1
Real Sociedad,Levante,1,2
Valencia,Sevilla,1,1
Athletic Bilbao,Espanyol,3,0
Real Betis,Celta Vigo,2,1
Real Madrid,Leganes,5,0
Mallorca,Osasuna,2,2
Eibar,Villarreal,2,1
Getafe,Granada,3,1
Espanyol,Valencia,1,2
Levante,Barcelona,3,1
Sevilla,Atletico Madrid,1,1
Real Madrid,Real Betis,0,0
Real Valladolid,Mallorca,3,0
Villarreal,Athletic Bilbao,0,0
Osasuna,Deportivo Alaves,4,2
Celta Vigo,Getafe,0,1
Leganes,Eibar,1,2
Granada,Real Sociedad,1,2
Villarreal,Deportivo Alaves,4,1
Leganes,Mallorca,1,0
Real Valladolid,Eibar,2,0
Atletico Madrid,Athletic Bilbao,2,0
Celta Vigo,Real Sociedad,0,1
Granada,Real Betis,1,0
Levante,Espanyol,0,1
Sevilla,Getafe,2,0
Osasuna,Valencia,3,1
Granada,Osasuna,1,0
Eibar,Barcelona,0,3
Atletico Madrid,Valencia,1,1
Getafe,Leganes,2,0
Mallorca,Real Madrid,1,0
Deportivo Alaves,Celta Vigo,2,0
Real Sociedad,Real Betis,3,1
Espanyol,Villarreal,0,1
Athletic Bilbao,Real Valladolid,1,1
Sevilla,Levante,1,0
Granada,Osasuna,1,0
Eibar,Barcelona,0,3
Atletico Madrid,Valencia,1,1
Getafe,Leganes,2,0
Mallorca,Real Madrid,1,0
Deportivo Alaves,Celta Vigo,2,0
Real Sociedad,Real Betis,3,1
Espanyol,Villarreal,0,1
Athletic Bilbao,Real Valladolid,1,1
Sevilla,Levante,1,0
Real Betis,Eibar,1,1
Leganes,Levante,1,2
Real Madrid,Granada,4,2
Valencia,Deportivo Alaves,2,1
Osasuna,Villarreal,2,1
Mallorca,Espanyol,2,0
Celta Vigo,Athletic Bilbao,1,0
Real Valladolid,Atletico Madrid,0,0
Real Sociedad,Getafe,1,2
Barcelona,Sevilla,4,0
Real Valladolid,Granada,1,1
Real Betis,Levante,3,1
Barcelona,Villarreal,2,1
Leganes,Athletic Bilbao,1,1
Mallorca,Atletico Madrid,0,2
Valencia,Getafe,3,3
Real Madrid,Osasuna,2,0
Eibar,Sevilla,3,2
Celta Vigo,Espanyol,1,1
Real Sociedad,Deportivo Alaves,3,0
Villarreal,Real Betis,5,1
Athletic Bilbao,Valencia,0,1
Getafe,Barcelona,0,2
Granada,Leganes,1,0
Atletico Madrid,Real Madrid,0,0
Espanyol,Real Valladolid,0,2
Eibar,Celta Vigo,2,0
Deportivo Alaves,Mallorca,2,0
Levante,Osasuna,1,1
Sevilla,Real Sociedad,3,2
Osasuna,Real Betis,0,0
Villarreal,Real Valladolid,2,0
Levante,Eibar,0,0
Atletico Madrid,Celta Vigo,0,0
Granada,Barcelona,2,0
Getafe,Mallorca,4,2
Espanyol,Real Sociedad,1,3
Valencia,Leganes,1,1
Athletic Bilbao,Deportivo Alaves,2,0
Sevilla,Real Madrid,0,1
Mallorca,Athletic Bilbao,0,0
Real Madrid,Levante,3,2
Leganes,Villarreal,0,3
Real Sociedad,Atletico Madrid,2,0
Barcelona,Valencia,5,2
Eibar,Espanyol,1,2
Deportivo Alaves,Sevilla,0,1
Celta Vigo,Granada,0,2
Real Valladolid,Osasuna,1,1
Real Betis,Getafe,1,1
Sevilla,Celta Vigo,1,1
Athletic Bilbao,Real Sociedad,2,0
Osasuna,Barcelona,2,2
Getafe,Deportivo Alaves,1,1
Levante,Real Valladolid,2,0
Real Betis,Leganes,2,1
Valencia,Mallorca,2,0
Espanyol,Granada,0,3
Atletico Madrid,Eibar,3,2
Villarreal,Real Madrid,2,2
Granada,Sevilla,0,1
Levante,Villarreal,2,1
Osasuna,Eibar,0,0
Real Madrid,Real Valladolid,1,1
Celta Vigo,Valencia,1,0
Getafe,Athletic Bilbao,1,1
Deportivo Alaves,Espanyol,0,0
Mallorca,Real Sociedad,0,1
Leganes,Atletico Madrid,0,1
Barcelona,Real Betis,5,2
